pole,verti_mix,horiz_mix,sp_tot,bat_tot,bat_vac,GSI,FAR,mxi_log,mxi_bur,mxi_ind,mxi_comm,mxi_equip,dom_sp
Calevoet,0.0,1.0,22612.489999999998,8,0,0.34933530666628937,0.8238109726050311,0.09729136419739712,45.21395034337218,54.68875829243043,0.0,0.0,industrie
Dunant - Arbre Unique,0.0,0.2727272727272727,15633.289999999999,15,0,0.3930402355718813,0.4842259342771381,4.113913322147801,35.200524009981265,60.68556266787094,0.0,0.0,industrie
Pôle Biestebroek,0.045112781954887216,0.18309859154929578,260774.93,133,15,0.3549665561360029,0.7113452430199857,6.245144040494997,32.49584229588327,48.3105143581095,5.6969088247861865,7.251590480726043,industrie
Pôle Birmingham,0.0375,0.34285714285714286,157405.97,80,7,0.42747981477938646,0.7872298159343561,1.4288594009490239,21.014450722548833,32.186002856181375,15.166673792614091,30.20401322770667,industrie
Pôle Erasme,0.04,0.0625,61452.619999999995,25,1,0.11854323272101389,0.21257948929769002,6.697289716858289,20.104919855329197,14.053591205712628,27.215536131738567,26.408963523442942,commerce
Pôle Mommaerts-Reyers,0.046511627906976744,0.1864406779661017,140801.28999999998,86,6,0.4575883323716373,0.785443567243652,6.0250371285660815,13.300268768844377,46.73559453894208,30.19410546593714,3.7449940977103267,industrie
Pôle OTAN,0.03333333333333333,0.14414414414414414,195825.59,180,16,0.31710816950515863,0.4301920949415375,6.3190413469455144,7.222605584898275,32.9566529073141,2.0420160613329443,51.45968409950916,équipements
Pôle Quai des Usines,0.05102040816326531,0.2916666666666667,172176.95,98,6,0.35594888791146484,0.43603794319993583,4.85779310180602,17.618763719533888,70.97361754869044,5.70766876750924,0.8421568624603932,industrie
Pôle Tour et Taxis,0.0,1.0,14803.21,15,0,0.6636506375933927,0.7123490153921834,1.607624292298765,17.855586727473302,78.30788052050873,2.2289084597192095,0.0,industrie
Rue d'Osseghem,0.0,0.5,46034.92,10,0,0.61711512699912,1.2060469893750287,0.0,16.910315039105097,76.45852322541236,6.631161735482542,0.0,industrie
